"Island  :)",ISL
"Ze Španělska.  :) ",ESP
"Finsko - opravdovy domov Santy ❤️",FIN
"Před dvěma lety jsem posílala Vánoční pohledy přímo z Betléma z náměstí jesliček s vánočním razítkem, které dostanete jen 24.12. ",PSE
"Z Abu Dhabí (UAE) snad to všechno klapne ",ARE
"Dansko a jednou z Kalifornie ☺️",USA
"Dansko a jednou z Kalifornie ☺️",DNK
"Belgie",BEL
"Dánsko ",DNK
"Francie - Azurové pobřeží ",FRA
"Pred 2 lety jsem posilala z Ciny ze Shanghaje.",CHN
"Bodamske jezero",AUT
"Los Angeles ",USA
"Svedsko ",SWE
"Malta ",MLT
"Wien",AUT
"Anglie ",GBR
"Scotland teda aspon se chystam jestli se letos zadari,  kdyz ne tak pristi rok :)",GBR
"Nasemu klientovi posílá pan z Nového Zélandu gumáky ",NZL
"Londyn .)",GBR
"Pred 2 rokmi z Mauriciusu  ",MUS
"Irsko ",IRL
"Já předloni z Moskvy",RUS
"Irsko  ",IRL
